servers,workload,cpu,energy,temperature,efficiency
3,63.29,100.0,452.56,33.97,81.77
3,62.28,100.0,443.65,34.11,81.8
3,61.23,100.0,436.52,34.22,81.79
3,60.22,100.0,430.82,34.27,81.77
3,59.25,100.0,426.25,34.4,81.74
3,58.21,100.0,422.6,34.29,81.68
3,56.99,100.0,419.68,34.26,81.6
3,56.03,100.0,417.35,34.43,81.53
3,55.19,100.0,415.48,34.61,81.46
3,53.95,100.0,413.98,34.62,81.34
3,52.96,100.0,412.79,34.58,81.25
3,51.97,100.0,411.83,34.46,81.14
3,50.88,100.0,411.06,34.51,81.01
3,49.86,100.0,410.45,34.57,80.88
3,48.79,100.0,409.96,34.54,80.75
3,47.9,100.0,409.57,34.58,80.62
3,46.83,100.0,409.25,34.79,80.47
3,45.7,100.0,409.0,34.89,80.3
3,44.72,100.0,408.8,35.06,80.14
3,43.99,100.0,408.64,35.09,80.02
3,43.25,100.0,408.51,35.33,79.89
3,42.44,100.0,408.41,35.39,79.74
3,41.42,100.0,408.33,35.38,79.55
3,40.73,100.0,408.26,35.25,79.41
3,39.88,100.0,408.21,35.32,79.24
3,39.09,100.0,408.17,35.34,79.07
3,38.34,100.0,408.13,35.32,78.9
3,37.72,100.0,408.11,35.36,78.76
3,37.27,100.0,408.09,35.48,78.66
3,36.68,100.0,408.07,35.61,78.51
3,36.22,100.0,408.06,35.77,78.4
3,35.71,100.0,408.04,35.88,78.27
3,35.26,100.0,408.04,35.81,78.15
3,34.87,100.0,408.03,35.79,78.04
3,34.64,100.0,408.02,35.89,77.98
3,34.42,100.0,408.02,35.93,77.92
3,34.17,100.0,408.01,35.97,77.85
3,33.87,100.0,408.01,36.13,77.76
3,33.83,100.0,408.01,36.26,77.75
3,33.76,100.0,408.01,36.24,77.73
3,33.59,100.0,408.01,36.38,77.68
3,33.57,100.0,408.0,36.41,77.67
3,33.44,100.0,408.0,36.46,77.63
3,33.68,100.0,408.0,36.58,77.7
3,33.97,100.0,408.0,36.35,77.79
3,33.97,100.0,408.0,36.32,77.79
3,34.18,100.0,408.0,36.49,77.85
3,34.5,100.0,408.0,36.43,77.94
3,34.86,100.0,408.0,36.36,78.04
3,35.22,100.0,408.0,36.38,78.14
3,35.7,100.0,408.0,36.35,78.26
3,36.02,100.0,408.0,36.39,78.35
3,36.61,100.0,408.0,36.18,78.5
3,37.09,100.0,408.0,36.16,78.62
3,37.68,100.0,408.0,36.21,78.76
3,38.34,100.0,408.0,36.31,78.91
3,38.92,100.0,408.0,36.29,79.04
3,39.37,100.0,408.0,36.3,79.14
3,40.08,100.0,408.0,36.44,79.29
3,40.82,100.0,408.0,36.42,79.44
3,41.48,100.0,408.0,36.42,79.57
3,42.27,100.0,408.0,36.46,79.72
3,42.84,100.0,408.0,36.37,79.82
3,43.56,100.0,408.0,36.38,79.95
3,44.35,100.0,408.0,36.43,80.09
3,45.07,100.0,408.0,36.5,80.21
3,45.75,100.0,408.0,36.43,80.32
3,46.51,100.0,408.0,36.61,80.44
3,47.1,100.0,408.0,36.66,80.53
3,47.95,100.0,408.0,36.69,80.66
3,48.54,100.0,408.0,36.86,80.74
3,49.12,100.0,408.0,36.88,80.82
3,49.55,100.0,408.0,36.94,80.88
3,49.94,100.0,408.0,37.08,80.94
3,50.47,100.0,408.0,36.89,81.01
3,50.99,100.0,408.0,36.77,81.07
3,51.45,100.0,408.0,36.93,81.13
3,51.81,100.0,408.0,36.93,81.18
3,52.14,100.0,408.0,37.08,81.22
3,52.5,100.0,408.0,37.06,81.27
3,52.66,100.0,408.0,37.14,81.28
3,53.04,100.0,408.0,37.01,81.33
3,53.04,100.0,408.0,37.0,81.33
3,53.36,100.0,408.0,37.08,81.37
3,53.6,100.0,408.0,37.09,81.4
3,53.71,100.0,408.0,37.15,81.41
3,53.71,100.0,408.0,37.3,81.41
3,53.67,100.0,408.0,37.31,81.4
3,53.72,100.0,408.0,37.08,81.41
3,53.42,100.0,408.0,37.05,81.37
3,53.18,100.0,408.0,36.96,81.35
3,53.03,100.0,408.0,37.14,81.33
3,52.94,100.0,408.0,37.3,81.32
3,52.54,100.0,408.0,37.32,81.27
3,52.27,100.0,408.0,37.37,81.24
3,51.68,100.0,408.0,37.5,81.16
3,51.02,100.0,408.0,37.45,81.08
3,50.55,100.0,408.0,37.45,81.02
3,49.94,100.0,408.0,37.21,80.94
3,49.16,100.0,408.0,37.27,80.83
3,48.4,100.0,408.0,37.36,80.72
3,47.77,100.0,408.0,37.35,80.63
3,46.99,100.0,408.0,37.37,80.52
3,46.18,100.0,408.0,37.56,80.39
3,45.18,100.0,408.0,37.46,80.23
3,44.21,100.0,408.0,37.45,80.07
3,43.29,100.0,408.0,37.43,79.91
3,42.4,100.0,408.0,37.5,79.74
3,41.4,100.0,408.0,37.43,79.55
3,40.4,100.0,408.0,37.4,79.35
3,39.31,100.0,408.0,37.52,79.12
3,38.34,100.0,408.0,37.45,78.91
3,37.12,100.0,408.0,37.5,78.62
3,36.06,100.0,408.0,37.64,78.36
3,35.13,100.0,408.0,37.51,78.11
3,34.22,100.0,408.0,37.5,77.86
3,33.17,100.0,408.0,37.75,77.55
3,32.02,100.0,408.0,37.89,77.19
3,31.0,100.0,408.0,37.88,76.85
3,30.07,99.73,407.88,37.9,76.57
3,29.04,98.81,407.37,37.92,76.35
3,27.9,97.87,406.53,37.73,76.07
3,27.0,97.01,405.48,37.66,75.86
3,26.08,95.14,403.8,37.7,75.81
3,25.22,93.61,401.76,37.79,75.71
3,24.35,90.38,398.68,37.78,75.93
3,23.43,88.4,395.32,37.83,75.87
3,22.39,85.33,391.26,37.87,75.92
3,21.62,82.38,386.68,37.84,76.1
3,20.89,80.48,382.16,37.9,76.11
3,20.12,77.89,377.38,38.05,76.16
3,19.36,75.62,372.53,38.06,76.17
3,18.72,72.84,367.4,38.15,76.29
3,18.24,69.69,361.88,38.05,76.64
3,17.66,68.36,356.87,37.89,76.2
3,17.22,65.57,351.6,37.89,75.64
3,16.73,63.5,346.45,37.96,75.12
3,16.26,61.43,341.41,38.05,74.57
3,15.94,59.85,336.66,37.98,74.29
3,15.71,58.8,332.39,37.92,74.11
3,15.54,57.3,328.29,37.97,73.93
3,15.32,56.54,324.68,37.96,73.78
3,15.15,54.86,321.03,37.94,73.56
3,15.22,54.6,318.0,38.01,73.75
3,15.17,53.8,315.21,38.05,73.71
3,15.25,53.49,312.84,38.2,73.79
3,15.35,53.09,310.76,38.05,74.04
3,15.42,53.16,309.13,38.11,74.17
3,15.58,53.03,307.77,38.11,74.39
3,15.8,52.14,306.28,37.98,74.63
3,16.02,52.0,305.02,37.87,74.89
3,16.55,52.68,304.32,37.94,75.51
3,16.5,53.23,304.01,38.13,75.48
2,16.88,59.55,285.47,38.05,72.71
2,17.14,65.17,272.33,38.04,73.5
2,17.38,70.09,263.29,38.02,74.52
2,17.69,74.09,257.26,37.8,74.56
2,18.19,77.22,253.37,37.78,74.74
2,18.72,80.16,251.15,37.62,74.84
2,19.34,83.17,250.27,37.64,74.88
2,20.04,86.92,250.69,37.73,74.73
2,20.63,90.13,251.99,37.72,74.52
2,21.49,93.76,254.12,37.79,74.35
2,22.39,97.87,257.06,37.7,74.04
2,23.31,100.0,260.05,37.6,74.05
2,24.15,100.0,262.44,37.64,74.39
2,25.09,100.0,264.35,37.76,74.79
2,26.07,100.0,265.88,37.95,75.19
2,27.09,100.0,267.1,38.02,75.59
2,28.16,100.0,268.08,37.99,76.01
2,29.25,100.0,268.87,37.96,76.4
2,30.32,100.0,269.49,37.89,76.77
2,31.36,100.0,269.99,37.79,77.11
2,32.42,100.0,270.4,37.73,77.43
2,33.49,100.0,270.72,37.78,77.74
2,34.53,100.0,270.97,37.61,78.03
2,35.51,100.0,271.18,37.7,78.29
2,36.54,100.0,271.34,37.71,78.54
2,37.63,100.0,271.47,37.8,78.8
2,38.59,100.0,271.58,37.85,79.02
2,39.61,100.0,271.66,37.79,79.23
2,40.39,100.0,271.73,37.94,79.39
2,41.42,100.0,271.78,37.9,79.6
2,42.26,100.0,271.83,37.99,79.75
2,43.19,100.0,271.86,38.03,79.9
2,44.09,100.0,271.89,38.02,80.07
2,44.79,100.0,271.91,38.17,80.09
2,45.41,100.0,271.93,38.27,80.13
2,46.05,100.0,271.94,38.29,80.23
2,46.85,100.0,271.95,38.43,80.26
2,47.53,100.0,271.96,38.43,80.36
2,48.08,100.0,271.97,38.43,80.45
2,48.67,100.0,271.98,38.5,80.49
2,48.95,100.0,271.98,38.59,80.47
2,49.24,100.0,271.99,38.51,80.56
2,49.78,100.0,271.99,38.42,80.69
2,50.31,100.0,271.99,38.45,80.74
2,50.58,100.0,271.99,38.45,80.77
2,50.74,100.0,271.99,38.5,80.77
2,50.92,100.0,272.0,38.58,80.74
2,50.98,100.0,272.0,38.47,80.81
2,51.08,100.0,272.0,38.52,80.8
2,51.23,100.0,272.0,38.32,80.93
2,51.23,100.0,272.0,38.32,80.94
2,51.17,100.0,272.0,38.36,80.9
2,51.19,100.0,272.0,38.27,80.96
2,51.33,100.0,272.0,38.2,81.02
2,51.26,100.0,272.0,38.13,81.05
2,51.13,100.0,272.0,38.28,80.95
2,50.83,100.0,272.0,38.47,80.79
2,50.7,100.0,272.0,38.53,80.74
2,50.5,100.0,272.0,38.65,80.64
2,50.08,100.0,272.0,38.7,80.56
2,49.72,100.0,272.0,38.58,80.58
2,49.18,100.0,272.0,38.62,80.49
2,48.7,100.0,272.0,38.5,80.49
2,48.24,100.0,272.0,38.63,80.34
2,47.86,100.0,272.0,38.6,80.31
2,47.41,100.0,272.0,38.61,80.24
2,46.89,100.0,272.0,38.7,80.11
2,46.17,100.0,272.0,38.64,80.03
2,45.44,100.0,272.0,38.6,79.94
2,44.9,100.0,272.0,38.59,79.86
2,44.28,100.0,272.0,38.5,79.81
2,43.7,100.0,272.0,38.56,79.67
2,43.05,100.0,272.0,38.67,79.49
2,42.73,100.0,272.0,38.57,79.49
2,42.29,100.0,272.0,38.51,79.45
2,41.89,100.0,272.0,38.67,79.28
2,41.31,100.0,272.0,38.61,79.2
2,40.62,100.0,272.0,38.69,79.02
2,40.38,100.0,272.0,38.69,78.97
2,39.92,100.0,272.0,38.78,78.82
2,39.43,100.0,272.0,38.71,78.76
2,39.15,100.0,272.0,38.78,78.66
2,38.87,100.0,272.0,38.63,78.69
2,38.72,100.0,272.0,38.74,78.59
2,38.46,100.0,272.0,38.74,78.53
2,38.26,100.0,272.0,38.55,78.6
2,37.97,100.0,272.0,38.71,78.44
2,37.86,100.0,272.0,38.77,78.37
2,37.84,100.0,272.0,38.78,78.36
2,37.8,100.0,272.0,38.58,78.47
2,37.87,100.0,272.0,38.57,78.5
2,38.02,100.0,272.0,38.74,78.43
2,38.21,100.0,272.0,38.67,78.51
2,38.39,100.0,272.0,38.7,78.54
2,38.53,100.0,272.0,38.64,78.61
2,38.71,100.0,272.0,38.68,78.62
2,38.98,100.0,272.0,38.77,78.63
2,39.29,100.0,272.0,38.77,78.69
2,39.68,100.0,272.0,38.69,78.82
2,40.23,100.0,272.0,38.62,78.98
2,40.72,100.0,272.0,38.57,79.11
2,41.31,100.0,272.0,38.43,79.31
2,41.97,100.0,272.0,38.51,79.39
2,42.36,100.0,272.0,38.56,79.43
2,43.01,100.0,272.0,38.56,79.55
2,43.66,100.0,272.0,38.75,79.55
2,44.25,100.0,272.0,38.71,79.67
2,44.94,100.0,272.0,38.77,79.75
2,45.75,100.0,272.0,38.84,79.84
2,46.51,100.0,272.0,38.75,80.02
2,47.37,100.0,272.0,38.9,80.05
2,48.23,100.0,272.0,38.97,80.14
2,48.93,100.0,272.0,39.03,80.2
2,49.63,100.0,272.0,39.03,80.3
2,50.44,100.0,272.0,38.97,80.44
2,51.38,100.0,272.0,38.89,80.61
2,52.18,100.0,272.0,38.87,80.73
2,53.12,100.0,272.0,39.03,80.74
2,53.88,100.0,272.0,39.21,80.72
2,54.66,100.0,272.0,39.24,80.79
2,55.39,100.0,272.0,39.22,80.88
2,56.35,100.0,272.0,39.32,80.93
2,57.0,100.0,272.0,39.29,81.01
2,57.82,100.0,272.0,39.39,81.04
2,58.49,100.0,272.0,39.4,81.09
2,59.39,100.0,272.0,39.54,81.1
2,60.22,100.0,272.0,39.69,81.09
2,60.86,100.0,272.0,39.59,81.21
2,61.57,100.0,272.0,39.65,81.23
2,62.27,100.0,272.0,39.7,81.26
2,63.0,100.0,272.0,39.64,81.36
2,63.62,100.0,272.0,39.78,81.33
2,64.31,100.0,272.0,39.74,81.41
2,64.86,100.0,272.0,39.77,81.43
2,65.31,100.0,272.0,39.87,81.41
2,65.68,100.0,272.0,39.68,81.56
2,66.16,100.0,272.0,39.78,81.53
2,66.49,100.0,272.0,39.87,81.5
2,66.94,100.0,272.0,39.86,81.55
2,67.21,100.0,272.0,39.75,81.63
2,67.39,100.0,272.0,39.8,81.61
2,67.45,100.0,272.0,39.76,81.64
2,67.49,100.0,272.0,39.72,81.67
2,67.37,100.0,272.0,39.81,81.61
2,67.4,100.0,272.0,39.95,81.52
2,67.37,100.0,272.0,40.01,81.49
2,67.47,100.0,272.0,39.98,81.51
2,67.44,100.0,272.0,39.98,81.51
2,67.32,100.0,272.0,40.12,81.42
2,67.16,100.0,272.0,40.29,81.3
2,66.91,100.0,272.0,40.54,81.13
2,66.75,100.0,272.0,40.57,81.1
2,66.29,100.0,272.0,40.31,81.22
2,65.92,100.0,272.0,40.33,81.18
2,65.69,100.0,272.0,40.13,81.28
2,65.13,100.0,272.0,40.06,81.29
2,64.7,100.0,272.0,39.96,81.31
2,64.07,100.0,272.0,40.15,81.14
2,63.5,100.0,272.0,40.31,81.0
2,63.08,100.0,272.0,40.39,80.92
2,62.36,100.0,272.0,40.42,80.84
2,61.77,100.0,272.0,40.74,80.59
2,61.03,100.0,272.0,40.7,80.55
2,60.39,100.0,272.0,40.63,80.54
2,59.6,100.0,272.0,40.76,80.39
2,58.84,100.0,272.0,40.72,80.34
2,58.21,100.0,272.0,40.81,80.22
2,57.54,100.0,272.0,40.91,80.1
2,56.84,100.0,272.0,40.86,80.05
2,56.23,100.0,272.0,40.87,79.98
2,55.49,100.0,272.0,40.79,79.95
2,54.62,100.0,272.0,40.73,79.89
2,53.9,100.0,272.0,40.72,79.82
2,53.15,100.0,272.0,40.8,79.68
2,52.52,100.0,272.0,40.67,79.68
2,51.87,100.0,272.0,40.7,79.59
2,51.14,100.0,272.0,40.67,79.51
2,50.58,100.0,272.0,40.77,79.38
2,49.89,100.0,272.0,40.72,79.32
2,49.2,100.0,272.0,40.62,79.29
2,48.78,100.0,272.0,40.5,79.3
2,48.43,100.0,272.0,40.49,79.26
2,48.1,100.0,272.0,40.64,79.12
2,47.43,100.0,272.0,40.69,78.99
2,46.88,100.0,272.0,40.8,78.85
2,46.58,100.0,272.0,40.64,78.9
2,46.23,100.0,272.0,40.64,78.84
2,45.89,100.0,272.0,40.55,78.84
2,45.47,100.0,272.0,40.7,78.68
2,45.48,100.0,272.0,40.77,78.65
2,45.2,100.0,272.0,40.78,78.59
2,45.18,100.0,272.0,40.88,78.53
2,45.0,100.0,272.0,40.86,78.51
2,44.78,100.0,272.0,41.12,78.32
2,44.76,100.0,272.0,41.18,78.28
2,44.97,100.0,272.0,41.19,78.31
2,45.12,100.0,272.0,41.42,78.2
2,45.14,100.0,272.0,41.46,78.18
2,45.28,100.0,272.0,41.48,78.18
2,45.65,100.0,272.0,41.5,78.23
2,45.93,100.0,272.0,41.52,78.27
2,46.17,100.0,272.0,41.64,78.23
2,46.75,100.0,272.0,41.66,78.31
2,47.07,100.0,272.0,41.82,78.26
2,47.29,100.0,272.0,41.82,78.29
2,47.78,100.0,272.0,41.84,78.36
2,48.19,100.0,272.0,41.96,78.34
2,48.86,100.0,272.0,41.9,78.47
2,49.36,100.0,272.0,41.76,78.62
2,49.98,100.0,272.0,41.85,78.65
2,50.84,100.0,272.0,42.0,78.68
2,51.59,100.0,272.0,42.15,78.69
2,52.39,100.0,272.0,41.99,78.88
2,53.13,100.0,272.0,42.02,78.95
2,53.76,100.0,272.0,42.0,79.03
